			[*strength.w=>-p]	[*footmin-s-noHX]	[*footmin-wordbound-lexmono]	[*skip_initial_foot]
These valleys and rocks never heard,	these|VAL|leys.and|ROCKS|nev.er|HEARD [*Bounded]	2	1			
	THESE|val.leys|AND|rocks|NEV|er|HEARD					
	THESE|val.leys|AND|rocks|NEV.ER|heard					
	these|VAL|leys|AND|rocks|NEV|er|HEARD					
	these|VAL|leys|AND|rocks|NEV.ER|heard					
Ne'er sigh'd at the sound of a knell,	ne'er|SIGH'D|at.the|SOUND|of.a|KNELL	2				
	NE'ER|sigh'd|AT|the|SOUND|of|A|knell					
	NE'ER|sigh'd|AT|the|SOUND|of.a|KNELL					
	ne'er|SIGH'D|at|THE|sound|OF|a|KNELL					
	ne'er|SIGH'D|at.the|SOUND|of|A|knell					
Or smiled when a sabbath appear'd.	or|SMILED|when.a|SAB|bath.ap|PEAR'D [*Bounded]	2			1	
	OR|smiled|WHEN|a|SAB|bath|AP.PEAR'D					
	OR|smiled|WHEN|a|SAB.BATH|ap|PEAR'D					
	or|SMILED|when.a|SAB|bath|AP.PEAR'D					
	or|SMILED|when.a|SAB.BATH|ap|PEAR'D					
Ye winds that have made me your sport,	ye|WINDS|that.have|MADE|me.your|SPORT	2				
	YE|winds|THAT|have|MADE|me|YOUR|sport					
	YE|winds|THAT|have|MADE|me.your|SPORT					
	ye|WINDS|that|HAVE|made|ME|your|SPORT					
	ye|WINDS|that.have|MADE|me|YOUR|sport					
Convey to this desolate shore	con|VEY|to.this|DES|o.late|SHORE	2				
	CON|vey|TO|this|DES|o|LATE|shore					
	CON|vey|TO|this|DES|o.late|SHORE					
	CON|vey|TO|this|DES.O|late|SHORE					
	con|VEY|to.this|DES|o|LATE|shore					
	con|VEY|to.this|DES.O|late|SHORE					
	con.vey|TO|this|DES|o|LATE|shore					
	con.vey|TO|this|DES|o.late|SHORE					
	con.vey|TO|this|DES.O|late|SHORE					
Some cordial endearing report	SOME|cor|DIAL|en|DEAR|ing|RE|port		1			
	SOME|cor|DIAL|en|DEAR|ing|RE.PORT			1		
	SOME|cor|DIAL|en|DEAR|ing.re|PORT				1	
