oreb	'ɑ.ɹɛ
illimitable	ɪ.'lɪ.mɪ.tʌ.bʌ
embryon	'ɛm.bɹɪ.ʌ
unnumbered	ʌn.'nʌm.bʌ
cyrene's	'saɪ.ɹin
embroils	ɛm.'bɹɔɪl
confusedly	kʌn.'fjʉː.sɪd.lɪ
pealed	'pil
bellona	bɛ.'ləʊ.nʌ
vacuity	væ.'kjʉː.ɪ.ti
pennons	'pɛ.nʌn
nitre	'naɪ.tʌ
quenched	'kwɛntʃ
boggy	'bɑ.ɡi
syrtis	'sɪ.ʌ.`ti
behoves	bɪ.'həʊv
gryphon	'ɡɹɪ.fɑ
moory	'mʊə.ɹi
arimaspian	`æ.ɹɪ.'mɑ.speɪ.ʌ
nethermost	'nɛ.ðʌ.`məʊs
enthroned	ɛn.'θɹəʊn
orcus	'ɔː.kʌ
demogorgon	'dɛ.mʌ.`ɡɔː.ɡʌ
darksome	'dɑk.sʌ
readiest	'ɹɛ.dɪ.ʌs
behoof	bɪ.'hʉː
anarch	'æ.nʌ
incomposed	ɪn.kʌm.'pəʊz
environed	ɛn.'vaɪ.ɹʌn
bosporus	'bɑ.spɔː.ɹʌ
justling	'dʒʌ.slɪŋ
larboard	'lɑ.bɔː
charybdis	kʌ.'ɹɪb.dɪ
tamely	'teɪm.li
outmost	'aʊt.məʊs
wafts	'wɑft
accursed	æ.'kəː.sɪ
hies	'haɪ
iii	`ɹəʊ.mʌn.'θɹi
coeternal	`kəʊ.ɪ.'təː.nʌ
unblam'd	ʌn.'blæm
unapproached	ʌ.næ.'pɹəʊtʃ
effluence	'ɛ.flʉː.ʌn
increate	`ɪn.kɹi.'eɪ
hear'st	'heɪ.ʌ.ʌs
formless	'fɔːm.lʌ
escap'd	'ɛ.skæp
orphean	'ɔː.feɪ.ʌ
revisit'st	ɹɪ.'vɪ.zɪts
orbs	'ɔːb
suffusion	sʌ.'fjʉː.ʒʌ
equall'd	'i.kwʌl
thamyris	'θæ.mɪ.`ɹɪ
maeonides	'mi.ʌ.`naɪd
tiresias	'taɪ.ʌ.zeɪ.ʌ
phineus	'faɪ.nɪ.ʌ
darkling	'dɑ.klɪŋ
shadiest	'ʃeɪ.dɪ.ʌs
